Texture shape,Texture diameter,Texture length,Texture depth,Texture pitch,Roughness factor,Contact angle
Parallel Dimple,119.5918091767808,105.45947889088839,20.52743626715182,300.0,1.0177600219036056,58.9
Parallel Dimple,142.83,133.27863128801883,30.0,100.0,1.1458678178851391,37.963275644539145
Staggered dimple,137.9643708972065,209.2637251632383,30.0,196.5619284712917,1.0775463615128156,40.1418622958975
Groove,140.85000807276762,117.03134717892424,29.16833624428353,204.54337778584693,1.0746765843897492,43.160259011593745
Groove,142.83,147.31874438548536,30.0,100.0,1.0990769303878338,46.14928826058545
Micro grid,117.18801114234485,400.3742829467346,19.651440680039595,203.95380022278098,1.0428841547919359,36.15121223314539
Parallel Dimple,87.18,175.27646501592218,10.187585073275644,111.58184135466263,1.016956489006826,33.313714423477904
Parallel Dimple,139.3589154418471,275.68437213282004,30.0,297.476631272698,1.0455712020733343,45.23820586230293
Staggered dimple,138.42767562409992,121.05597469419973,29.332781572809996,105.06121096168393,1.1414689425106341,37.29006426059538
Groove,119.20307545662236,193.1561574366363,20.070540356963704,211.17081337432353,1.037395350582986,36.94043741141757
Parallel Dimple,87.18,215.5308991176057,11.971841935843141,100.32812581989654,1.0240206337826168,34.03388951901125
Micro grid,87.18,277.7467178536057,10.0,276.6423154832083,1.0063684160078856,41.473247852416506
Staggered dimple,87.18,102.26488753274599,10.545937846997576,194.53834665754903,1.010957149616054,47.96316700349578
Micro grid,140.7706610664131,159.73699066655814,30.0,208.98211497845665,1.074317925702777,46.259731385090284
Micro grid,122.13537880060306,143.75748885968804,20.91551232612541,202.20951061395357,1.0278860270753667,47.950145972896344
Micro grid,123.31144141196542,136.47561661781174,19.11159320472989,207.1661080656854,1.0293325647258644,46.90787985753231
Staggered dimple,87.18,87.18,10.0,101.69163239270618,1.0345008482954812,49.7077270767707
Micro grid,116.38942581654554,187.68128311773768,18.417888624622343,220.61345311458714,1.0453692946914408,37.836307758934645
Staggered dimple,142.83,168.77425203414126,28.285740486928038,100.0,1.1032714937551173,46.713658574462904
Micro grid,89.83083650747596,87.18,10.02042331906066,100.0,1.0180700716189992,44.762568755616286
Parallel Dimple,142.83,142.9816952697934,29.843907715773856,299.6656579360698,1.0281509195940823,46.330285186748846
Groove,120.21634288428952,100.93229355331299,21.174260190817574,100.0,1.171,41.05750828747866
Staggered dimple,119.17320077202825,133.03085492278413,20.534492187786235,295.5436069783795,1.0179671063854498,44.81093544919586
Staggered dimple,87.87471103499433,94.16935610248831,10.0,104.08448191845665,1.0352260168101675,37.81879705881995
Staggered dimple,120.75848696480891,592.5966089933432,19.93417709032296,300.0,1.0461105296584359,42.76820441332903
Groove,142.698584315957,148.37480638552583,29.19540283339697,300.0,1.029861609393489,43.58433776077128
Staggered dimple,122.15249570257178,292.8064771657585,20.031606080933354,300.0,1.0311360402775205,43.95668628308501
Parallel Dimple,87.18,214.22824241104274,10.0,100.0,1.0211465942914422,34.13104496181426
Parallel Dimple,142.83,143.77696995380253,26.582596652125982,295.8168894798431,1.0233653589396166,43.189452351901046
Parallel Dimple,87.18,87.18,10.0,300.0,1.005,44.950598749845526
Micro grid,87.18,90.16815903783116,10.701088682906764,190.5166639141526,1.0118126799387608,46.56534299527587
Micro grid,118.13096589649258,101.99521662227266,19.856360858033664,292.5216658398061,1.0170890666450443,58.46201050421693
Groove,142.83,150.26066532726134,30.0,100.0,1.1400120201147634,37.476018708471024
Parallel Dimple,141.4545600968278,142.5128732996027,30.0,298.23870748225596,1.0367973395564454,47.38715366830675
Groove,120.79948064875077,132.4708864548145,20.34595910748161,100.0,1.1700846145049668,40.48363602622934
Staggered dimple,87.18,118.20336218159929,10.070101644878806,300.0,1.0081568124113665,44.966649934201335
Staggered dimple,139.7562498904365,140.38868246000334,28.276751212622067,194.2542077773186,1.0775238261141578,43.111232612930856
Parallel Dimple,87.18,191.55076899681822,10.005263248904788,106.71103717063411,1.0334200313985953,34.048542971030734
Micro grid,142.83,217.37337644507866,29.94794327119429,100.0,1.0205780143540186,30.09115755093935
Staggered dimple,89.00301018843673,220.5621466538227,10.0,106.64885462676466,1.0216299570191598,33.23594242809641
Groove,89.35405802586091,600.0,10.0,300.0,1.0230978387171554,44.374370948428904
Staggered dimple,118.17543203457693,224.07967098026535,20.626520297563445,119.61321784111155,1.025917789327951,32.7859399684006
Groove,142.83,124.65873763310832,28.92943320890387,199.15552266045557,1.075621537174218,45.471420457938486
Parallel Dimple,122.23879551160829,283.3456753881652,20.33841816046906,294.856247129696,1.0288950842269085,42.636291801568035
Groove,118.73233006523438,136.54031371935983,20.300250367268518,300.0,1.0193209369632383,45.27825639415635
Micro grid,87.18,105.8985160419645,10.0,189.44002135064412,1.0073674989388322,46.69557819259398
Staggered dimple,87.18,196.20956970354203,10.041871475433473,102.10194723667007,1.0152656389941666,33.06509907079085
Parallel Dimple,142.83,150.8354545940364,29.29435399160843,201.79248838411863,1.078414213662612,45.688639729764205
Staggered dimple,90.94071102598964,87.18,10.0,113.17994925649363,1.0273455694324973,42.60553268216891
Micro grid,142.83,170.98093640341682,29.521995752016714,300.0,1.0295340478037953,46.63088100159767
Staggered dimple,87.29219938840762,87.18,10.451213870792586,200.2696076159862,1.0101740644621582,46.933293533493675
Staggered dimple,87.18,101.84795898049474,10.0,300.0,1.005,45.63627264076418
Staggered dimple,142.83,140.0573985931822,28.9952715863689,101.65490633129272,1.1398979841153118,38.12082791845987
Parallel Dimple,90.42149510543874,87.18,10.0,289.72181459427986,1.0205820048143954,51.42304777145317
Micro grid,142.83,213.58726750607528,28.497780517185355,100.0,1.0299315711571042,30.132853142053776
Groove,87.18,302.9299372180444,10.303859946957122,300.0,1.005,42.00514831115287
Groove,87.18,87.18,10.0,294.71764569762513,1.0072738390892686,46.635078079431956
Staggered dimple,118.23813138746004,117.47623255673444,19.636221180368764,294.7236618498126,1.0254107700502049,46.033114428432796
Parallel Dimple,89.20668232816713,88.10047670925515,11.744359595964966,188.01461068298832,1.0118238562762805,46.90913884280761
Micro grid,142.83,145.1396826218373,30.0,293.8062455752599,1.0379476278093411,46.21170655615484
Parallel Dimple,87.18,104.50450960527276,11.001624661003097,113.84766938645652,1.0244594319934746,38.6377141581555
Parallel Dimple,87.18,87.18,10.449468651678995,200.23644454288944,1.007840907183606,47.474491369835796
Micro grid,123.35310828404286,101.92682033789734,19.637776999764537,290.18372555926794,1.0111504651523053,46.45289830337375
Parallel Dimple,116.2733753225815,113.989934963055,20.9350178300106,300.0,1.0211438062513585,45.783096921428324
Micro grid,118.11913486030609,109.08137499107566,19.608589862313192,299.3079094646757,1.0231904394274283,58.576034691188596
Staggered dimple,87.98229034029319,115.17340476299194,10.0,105.15161954620719,1.033321627920113,37.99180650299161
Parallel Dimple,87.18,203.32420323361777,10.029525635622164,108.20491876670809,1.02651670385545,33.41949670239086
Staggered dimple,142.20245157013488,197.08981379499272,29.768189437745477,200.9105820840448,1.086051720351146,40.328504154032245
Parallel Dimple,87.18,103.60390641645675,10.253217629618689,300.0,1.0128166396588183,45.04799182057042
Groove,120.56860540780889,116.87352753320228,20.864171333601035,300.0,1.0205534050803566,45.23513385153966
Parallel Dimple,142.83,128.6768619452247,29.844148371861035,100.0,1.1365050940412487,36.30718434557183
Staggered dimple,88.56091971579082,87.18,11.495137432877794,300.0,1.005,45.75612100667978
Groove,142.83,154.15062290850852,30.0,208.1034130918601,1.074997794953871,45.69768564602489
Staggered dimple,142.83,167.03576792727142,29.360066367486223,300.0,1.026166941648123,42.262175538648904
Micro grid,141.77812355896853,147.99355388794245,29.24092959439552,122.51731752109586,1.1412905117198846,36.8318917333179
Groove,87.18,87.18,10.0,300.0,1.0070590808442803,51.673607474305136
Staggered dimple,139.26548210970546,387.3903707337789,30.0,184.05465987098916,1.0772279878155973,36.00176439790679
Groove,118.12755736125011,395.682397690816,19.031128810639064,208.91024631731693,1.0495341282334318,37.29348100693391
Groove,87.18,87.18,10.0,299.08502336489397,1.0069538878018323,46.23741039895143
Parallel Dimple,119.32919792219792,211.72281914484873,19.984737903732416,100.0,1.0288411950792866,32.60201285123704
Micro grid,117.78059420966048,600.0,20.52467835130091,286.44610155968627,1.0445460441359657,43.125192900442876
Micro grid,87.18,93.81272732731506,11.127960843569728,100.0,1.0260396504298026,43.54782884862781
Micro grid,139.64789148899655,110.63555012188813,30.0,100.0,1.1371502479432314,38.00770361098024
Staggered dimple,87.18,87.18,10.0,102.3631811862066,1.0274524007607035,49.865637778871765
Staggered dimple,87.62419153513433,87.18,10.961457997045512,109.76670762282616,1.0252393072900334,50.03495929991054
Groove,87.18,204.55727004302736,10.0,100.0,1.0228860568204992,33.69456659062803
Groove,142.45083649976854,200.8825932538302,29.68818152115061,100.0,1.0191357466864333,30.516365496805168
Parallel Dimple,87.18,87.33943690477436,10.039111836017916,300.0,1.0060713689632874,44.7942768340979
Staggered dimple,142.83,214.2715566941467,30.0,202.69998431045207,1.075252983548828,39.71343042553117
Staggered dimple,121.64255293139006,126.91321297643,20.164168823879052,194.97227222911235,1.0259056672552556,46.19316810896241
Groove,119.1313398359182,113.04475026505318,19.874987159724327,300.0,1.0202838779603858,58.56140703626527
Groove,142.83,140.22808990347687,30.0,108.46142014264903,1.1454937156470306,37.001037981288384
Groove,119.9280797507967,190.03059320173585,20.986579520241314,205.08063377278893,1.0417334939923575,37.28424274853133
Parallel Dimple,141.24321737904833,121.34846740010173,30.0,216.62771063821458,1.0715707631743092,45.39784635546414
Parallel Dimple,87.18,109.18589080692789,11.107941277402885,300.0,1.005,46.093375568543216
Parallel Dimple,119.34747274490303,90.6452331987994,19.07632762182145,111.09454197400392,1.085499196292399,40.61841114123442
Micro grid,142.83,417.06083552327937,29.894418414823253,204.62251357781912,1.068698374424318,36.83370141090375
Micro grid,87.18,203.00334340701738,10.964306441275067,202.31798690445075,1.014931639858515,35.27261166196258
Staggered dimple,142.83,207.98219070135477,29.77781189151486,100.0,1.0246532542084064,30.0
Parallel Dimple,117.1143650646863,593.90886027224,19.838631534166808,299.71933970443087,1.0358135848865984,43.68288517160109
Micro grid,87.18,104.62411717909939,10.0,100.0,1.0252572936337305,37.19136254468658
Groove,142.83,183.24214967927057,28.947986267976134,100.0,1.0242857138648764,30.0
Staggered dimple,119.23288632230613,124.67441086581908,21.11076215574168,100.0,1.171,40.93868229487011
Staggered dimple,87.18,110.34489831475273,10.0,300.0,1.0060641775948536,46.149978993912185
Micro grid,142.49534857067724,104.99502448848223,28.494821172557128,100.0,1.1552280654960942,41.79081989246945
Parallel Dimple,119.00164904159888,421.50103865076755,20.176218698354834,195.1711647641257,1.042100961344693,37.19633887789828
Staggered dimple,87.18,87.18,10.0,198.83758955142713,1.0088785294981355,47.850192260801805
Micro grid,87.18,209.59218885472873,10.745842755153168,100.0,1.0231429397229148,32.469255568073976
Staggered dimple,120.21598469353337,115.07114192857983,19.719639923675317,292.9166794138847,1.0206043939875613,45.84194812597599
Parallel Dimple,118.71471630944914,124.83818545702036,19.357564373358237,107.28538892500119,1.0784642627773628,46.825138722209225
Micro grid,87.4972762453636,96.92316049977858,10.525969153331108,209.4274190199856,1.0102376790583538,46.47959418483567
Parallel Dimple,123.3509412094169,110.01338691193743,19.92941156794022,190.77268408962132,1.0348963721718172,46.24779650755212
Micro grid,121.62816346538048,437.963200000887,18.26543903199664,203.8321678525509,1.044859229242966,36.394146353893
Micro grid,121.31089533464058,132.3028030096118,19.895880129944018,100.0,1.087310004508847,47.781899740092776
Parallel Dimple,122.40265706770514,101.21328062611342,21.06036089336522,209.3843762299868,1.027145640524194,47.14602469732979
Micro grid,87.18,111.55398560836724,10.0,100.0,1.036522575114065,37.55133908139333
Staggered dimple,121.85743473805637,114.0582804716409,19.635738116871153,100.0,1.1689944094990696,41.858105971613206
Groove,87.18,216.93295002090304,10.0,200.21183331092988,1.0106002093723712,35.59513702972716
Parallel Dimple,87.18,87.18,10.023240444003216,190.3769483052757,1.0063831173376698,45.727610245698784
Groove,123.39575997919458,133.86921826278038,19.475377548401116,299.77316753147716,1.0218142147563427,44.26292593877706
Staggered dimple,87.18,96.78941103455385,10.0,106.55489003312162,1.0277900730942227,37.96124427323967
Parallel Dimple,90.26002316396266,276.9554120759968,10.0,300.0,1.005,40.77105301779476
Staggered dimple,88.8200008456891,207.40997596779627,10.0,191.74787073043268,1.01298731655446,35.236665086965225
Groove,142.83,399.99367895833643,29.104632329108018,195.9710868483502,1.068488576867478,36.71001313225826
Parallel Dimple,87.18,103.08803821836044,10.0,103.71993796159742,1.025838471385421,43.884797668949794
Staggered dimple,88.33568863629517,87.18,10.0,100.0,1.0355316069190272,44.28821482815918
Staggered dimple,87.18,207.44789472651965,10.598490698075652,110.98847218262222,1.024104311305719,33.589481588274204
Groove,122.6905226274182,125.13433287203935,21.973675088563958,300.0,1.0221863321522258,58.04632440416782
Groove,88.05093746516573,87.18,11.15647697822238,100.0,1.0302475528641313,42.115185143904284
Staggered dimple,116.37328064269475,115.49731319703169,18.952698254044385,100.0,1.0812743334700512,39.61494985839633
Parallel Dimple,121.1442655064904,600.0,18.877495206550634,300.0,1.0402169106388703,42.23823476259253
Staggered dimple,120.15133254669323,310.6394365373037,20.13578776716754,294.7285003754316,1.0216266620507763,43.80042835709499
Parallel Dimple,118.36222436083594,95.37386523117875,20.5946286139302,100.0,1.171,40.590188135517295
Staggered dimple,141.6729344580742,169.75102934576992,30.0,295.711138829112,1.0315359966154525,47.106209344384375
Parallel Dimple,119.04452858203716,103.72225702613564,17.908227578122407,100.0,1.0830654399828339,40.13867315174187
Micro grid,141.17872090467154,288.1146730230377,29.519946001272707,300.0,1.0485063667023822,45.09753471366915
Groove,118.52730838334556,156.4177506991578,20.454955052545138,104.93317960197324,1.0162309726651448,32.63279964852318
Staggered dimple,141.45008747210375,214.53583778421162,28.776921522794858,197.918735019388,1.0815551310175897,39.87338164495157
Staggered dimple,142.83,137.45270556873047,30.0,198.97905744062473,1.073919683970223,43.22500859644672
Micro grid,118.15804207837678,591.6157074079882,19.378583306752464,300.0,1.0374484845055079,43.508178637266
Micro grid,121.01827624171375,119.95879418964888,19.986970899031057,100.0,1.171,40.71065006529123
Parallel Dimple,118.50142231587607,137.08499204970417,20.640846523201294,300.0,1.0172855128973903,58.59725901138939
Micro grid,142.83,187.6289998795958,30.0,204.00673637810343,1.0799297811160624,40.55156481487957
Groove,142.83,130.58250832657856,30.0,300.0,1.0265432855077854,47.43370923311226
Parallel Dimple,117.17015229038962,133.3446380168152,20.590874792959383,300.0,1.0185570736969898,44.786436417620706
Staggered dimple,87.18,89.19414274442256,10.0,100.0,1.0321302870698648,44.356592055718814
Staggered dimple,87.26312287002037,411.3757303232503,10.0,193.04887353380133,1.0242242334327893,39.543079245230096
Staggered dimple,139.5663553348901,365.7149333680811,29.857894077663033,200.46036663218712,1.0687344346746745,36.617077800820766
Groove,122.1278468616612,109.91295856055427,20.820074025814893,107.1701089038851,1.171,40.18015458375511
Parallel Dimple,142.65503010671029,124.25212266489945,29.627578597277644,287.74172124515945,1.0192664535240104,47.33992194134412
Staggered dimple,142.83,136.53204474954148,30.0,102.12876343424976,1.1413320077896878,37.24632197510059
Parallel Dimple,117.9399235840233,211.16679016723015,20.524040761278407,104.8424781601954,1.031259060787803,32.97467243986771
Micro grid,87.18,90.15822258398052,10.283285506813574,102.35440262752557,1.0398953865429807,43.35940359607151
Groove,142.83,125.05307201743346,29.036674772899634,291.38076982737323,1.0264296626041285,47.614636689364715
Groove,87.3472961329516,101.09929775866556,10.180649006413864,197.62342382087505,1.007274372913154,46.134684686340734
Micro grid,141.33936828856434,600.0,29.522745142603267,294.8303292083772,1.06941648931775,41.891626152707914
Micro grid,120.24947273906035,106.31448570770736,19.192942298247356,300.0,1.0185365052944693,58.9
Staggered dimple,126.14290582706778,392.8613840606168,19.299464282811435,193.40022992627092,1.0494730396362109,37.113530520891
Micro grid,87.18,87.18,11.018103747834589,111.89489018218994,1.0304863893693224,49.50507510152174
Groove,142.83,197.1657884608438,30.0,100.0,1.0316971980798728,30.269586702856138
Parallel Dimple,117.66297890561691,103.19258077748741,19.58233773676898,295.4648202445864,1.0224228579030934,58.8143511949369
Staggered dimple,87.18,600.0,11.129485286977008,300.0,1.0209995882568483,45.324411579229064
Staggered dimple,119.53273717440712,583.5400387300933,19.967738650524907,300.0,1.0384373281809556,43.91410249240837
Parallel Dimple,87.18,301.3145891467082,10.496823937852463,300.0,1.0156176305157583,40.860579044984846
Groove,87.18,305.4194657474337,10.0,295.17429869428116,1.0062361876859305,42.0248393558925
Groove,142.83,392.7212060289881,30.0,202.74131040221909,1.0716685992572692,36.95454882956034
Staggered dimple,120.22997061735184,102.13271547694171,20.440578149258997,118.16237977923501,1.0885578325973242,40.20345421968045
Groove,89.1424868804825,203.40536123305833,10.097388189465613,196.2424171541145,1.0140017666070116,35.929891495335994
Staggered dimple,122.0499454553017,110.54755578677914,20.19670456078621,201.68397710692616,1.032164439830361,46.73814676054258
Parallel Dimple,87.18,305.4382284657109,10.0,300.0,1.0070432187822,41.97966376881579
Groove,87.18,87.18,10.0,101.78720282849503,1.0294541118037734,44.302225227950196
Micro grid,119.59861905773025,131.28322492015536,20.632981353640066,208.04649017910182,1.0243597824531423,45.65160874375519
Micro grid,118.38058820682207,104.12466938154911,19.502812500886737,100.0,1.0826559320269131,40.30713332150117
Parallel Dimple,117.75973065829511,393.98395082090536,19.73566300408938,186.20704831142618,1.0491623401554468,36.62119541587907
Groove,87.18,106.88241001442228,10.089592076642761,100.0,1.03673578009191,41.97081357446745
Staggered dimple,123.20692226959585,200.21252663271306,19.499821059079917,100.0,1.0297694637908912,32.8942719433592
Groove,87.18,403.92793020216004,10.324699150800134,194.56923985701977,1.0211184462156262,38.93161340862592
Staggered dimple,87.18,87.18,10.0,107.92869445054343,1.0466221531682427,51.159546903289765
Groove,87.18,119.4009451690984,10.140374734279236,100.0,1.0298755033800548,49.312798230356826
Micro grid,87.18,103.60605166433471,11.14115976413922,100.0,1.0269269542381756,42.72963081260219
Micro grid,140.19059642154656,600.0,29.998717353944418,300.0,1.0677043574792808,40.60826894305116
Parallel Dimple,139.6502288442246,209.9077598692103,29.372605083230297,101.50240982641132,1.0262831273114532,30.0
Parallel Dimple,125.1793924163627,123.69320034822326,19.924772494198653,100.0,1.0812119929740978,40.912762330350645
Parallel Dimple,87.97778845464701,87.18,10.0,213.1536157884958,1.005766999718829,46.45592566076553
Micro grid,142.83,600.0,30.0,300.0,1.070291038381371,42.18020732145891
Staggered dimple,120.75244378870913,103.0749247192898,21.97870887997317,216.3896334046965,1.0344973803907276,46.303545043492065
Micro grid,88.55595015928836,87.18,10.0,291.7824940778177,1.0082933067632458,50.94185864961907
Staggered dimple,116.85875775693617,320.14505324507877,20.48772279648672,299.9965581014003,1.0240846280833678,43.576364037090784
Groove,138.67446826305385,153.89404544455303,29.36580710920182,100.0,1.1477696796351728,37.50568161358332
Parallel Dimple,88.22624072397421,599.8251306218268,10.489821613724294,300.0,1.016837759389854,45.428754998596546
Staggered dimple,87.18,99.96575433570862,10.735702299324004,200.83403703297913,1.0122076115658194,47.62477121715356
Parallel Dimple,89.31406812739785,87.18,10.0,113.5135768799033,1.0307145454177757,49.01178023051828
Groove,119.4313313587497,87.18,20.050042887269203,106.25644397502171,1.091041750822152,40.26892086904504
Micro grid,119.77232705395882,402.81130153176673,20.78511515218117,196.81461621722767,1.0585363518368558,36.2811710594203
Groove,87.18,308.3278535282904,10.030834431362091,295.6394154587033,1.0084330865021744,42.19680530414795
Groove,119.49981617331449,135.43919895515555,19.04507285628147,100.0,1.0857280324289857,48.60376839078064
Parallel Dimple,117.91060168916142,90.04919827183875,18.526591507363495,100.0,1.0858047495522751,40.61051642973168
Micro grid,122.82561734476933,208.5148771105918,19.371381248813694,100.0,1.0255379597796495,31.439703519864413
Parallel Dimple,142.83,155.10769032108638,30.0,110.90920675425579,1.146241116629299,37.88857851823925
Parallel Dimple,87.19312667662768,589.0855073852928,10.0,300.0,1.0200393250283586,45.24742392907245
Parallel Dimple,118.44716472702422,132.99753219560762,20.413063633410335,293.33138118216095,1.0204940052486802,58.37174995678262
Parallel Dimple,87.18,87.18,11.505816011595396,100.0,1.0273429719254463,38.02465566957951
Groove,88.2702174717038,87.87596124531558,11.195932205346907,103.87608897100235,1.0344109056573014,37.18214873726039
Parallel Dimple,141.6364425182313,141.211106411038,30.0,101.74272387909504,1.1431906231019333,37.26836107952903
Groove,142.83,114.45077258420149,29.17476087517628,186.1727167844584,1.0780138010801,45.64796419918815
Parallel Dimple,89.35544437829881,116.03368460142318,10.312991014954248,108.28977855040603,1.0340017252269451,43.110244586186354
Groove,87.84300663457846,122.15323124884075,11.271812174908778,100.0,1.0309049412626026,39.73990700129521
Groove,142.7546655475403,121.44376433160264,28.359361643204196,100.0,1.1545297321815,42.614436519596545
Groove,87.79987567148542,87.18,12.18641162380978,100.05546015918563,1.0284601863598617,49.6886045512648
Staggered dimple,87.19212010744354,95.3639040246409,10.0,109.68463145641552,1.0246940000790583,37.00051786140413
Staggered dimple,142.83,137.4420506603233,29.663187428512334,204.33673896723874,1.0791072188040667,42.08021572316086
Groove,119.62282808957904,129.04991929228834,21.20907147187162,288.4031372218118,1.0201400658826298,46.39949015801587
Parallel Dimple,142.83,162.7889766911695,30.0,211.41811895403114,1.078790819987837,42.70854585072243
Groove,142.32125675128898,381.5849968340394,30.0,193.21729472176457,1.0771437072253218,36.478283037083415
Staggered dimple,87.18,391.1388462796258,10.0,211.4789577967095,1.0180381041810274,39.99028552645628
Groove,87.78809028125536,87.18,11.04516522875353,112.76498297717893,1.033193423506958,42.492905713263326
Staggered dimple,142.83,168.80519399891273,30.0,104.39739030203759,1.0995364179452944,45.03160496681231
Micro grid,117.1398171163998,104.64294948614052,18.114717943576448,104.80196363094169,1.0864755453992991,40.995252870431514
Parallel Dimple,140.10632231362877,298.5343447236151,28.64660677485041,300.0,1.0583785115220787,44.790442725943244
Parallel Dimple,87.18,207.3369613976298,10.752491149422035,206.17846000714377,1.0131657213658098,36.04275228709428
Groove,118.85087393355677,401.7837973794852,20.57379073453789,196.82342571859687,1.0444873504714713,36.89329972384451
Micro grid,119.40159874700491,219.76946989747032,18.538634539537263,193.4575650041586,1.0402318553452634,37.06485540971219
Parallel Dimple,142.83,116.05972659354134,30.0,300.0,1.0356116086162548,42.83161031558436
Micro grid,120.95872011717245,328.4624903736945,20.92600394850266,300.0,1.0297401548741496,43.20651646110214
Parallel Dimple,118.38908871383249,94.12392355503746,18.757217923891204,100.0,1.0884587565527641,40.454502877538964
Parallel Dimple,140.4837480787218,162.9778865746159,30.0,291.65612864236715,1.026889701795481,46.64940616512912
Groove,87.18,87.18,10.087654698238858,296.2094880979063,1.0102478718493284,45.665259498437294
Staggered dimple,116.75737652455295,327.0425736936615,18.924687474314357,292.4342119992247,1.0273897902682545,44.04408819101162
Groove,142.02164725517102,132.17169137111173,29.180764889508232,191.94091368279618,1.0821676024612523,43.56946551962802
Parallel Dimple,122.06177101256247,122.04443357504354,19.73725589914746,100.62448880471696,1.171,41.07865930756679
Parallel Dimple,121.95703988146587,292.077990996029,20.790296943690826,296.36264576168514,1.0266733255753577,43.49330758633581
Staggered dimple,119.11128405360243,99.34851543385577,19.958855147184362,100.0,1.0860366803570756,39.56099241057293
Micro grid,118.76797559188533,294.56408131384893,20.845335573321353,300.0,1.0235849087709323,43.967172203620095
Micro grid,140.73109554383115,281.6791692227346,29.900430932929144,293.48209777423415,1.0523951154332314,44.02073471879538
Staggered dimple,138.23475093903255,137.6680313867413,29.649527217891166,200.74008218672077,1.073138802552903,43.07703344824905
Parallel Dimple,142.83,138.6764120103825,29.179879619310494,291.5438384387546,1.0313871267229882,42.379452676045226
Parallel Dimple,87.18,87.94132702152305,10.605129499395526,293.93205194956056,1.010874373725652,51.62828847148038
Groove,87.18,115.53877628009494,10.142580176982717,102.22851498468009,1.0268749964841992,36.07583218842365
Parallel Dimple,122.24671200604827,413.50384421938315,20.351146941793125,213.3287979645157,1.0484002244015413,36.64248701348979
Groove,87.18,87.18,11.370156637902179,300.0,1.0072566606551723,45.01743921968423
